"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-11,"Kips Bay/Murray Hill/NoMad","Manhattan","10016","10016","18+",47219.34,3839,36099,39938,8.13,76.45,84.58
2021-06-11,"East Midtown/Murray Hill","Manhattan","10017","10017","18+",14525.37,1407,11703,13110,9.69,80.57,90.26
2021-06-11,"Hell's Kitchen/Midtown Manhattan","Manhattan","10018","10018","18+",11074.47,1628,9699,11327,14.7,87.58,102.28
2021-06-11,"Hell's Kitchen/Midtown Manhattan","Manhattan","10019","10019, 10020","18+",40079.15,3955,32090,36045,9.87,80.07,89.93
2021-06-11,"Lenox Hill/Upper East Side","Manhattan","10021","10021","18+",39649.27,2235,28076,30311,5.64,70.81,76.45
2021-06-11,"East Midtown","Manhattan","10022","10022","18+",28093.47,2211,21996,24207,7.87,78.3,86.17
2021-06-11,"Lincoln Square","Manhattan","10023","10023","18+",53514.3,3519,40368,43887,6.58,75.43,82.01
2021-06-11,"Upper West Side","Manhattan","10024","10024","18+",48892.24,2764,36531,39295,5.65,74.72,80.37
2021-06-11,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","10025","18+",78357.64,4966,53854,58820,6.34,68.73,75.07
2021-06-11,"Central Harlem (South)","Manhattan","10026","10026","18+",31433.75,1889,15638,17527,6.01,49.75,55.76
2021-06-11,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan","10027","10027","18+",52767.1,3391,27082,30473,6.43,51.32,57.75
2021-06-11,"Upper East Side/Yorkville","Manhattan","10028","10028","18+",40085.88,2186,28151,30337,5.45,70.23,75.68
2021-06-11,"East Harlem","Manhattan","10029","10029","18+",62632.91,4225,33635,37860,6.75,53.7,60.45
2021-06-11,"Central Harlem (North)","Manhattan","10030","10030","18+",23158.57,1482,10300,11782,6.4,44.48,50.88
2021-06-11,"Hamilton Heights/West Harlem","Manhattan","10031","10031","18+",48898.28,3302,25860,29162,6.75,52.89,59.64
2021-06-11,"Washington Heights (South)","Manhattan","10032","10032","18+",52605.38,3407,28641,32048,6.48,54.45,60.92
2021-06-11,"Washington Heights (North)/Washington Heights (South)","Manhattan","10033","10033","18+",48322.89,2826,25907,28733,5.85,53.61,59.46
2021-06-11,"Inwood/Washington Heights (North)","Manhattan","10034","10034","18+",34453.5,2369,17574,19943,6.88,51.01,57.88
2021-06-11,"East Harlem","Manhattan","10035","10035","18+",28175.25,2195,15299,17494,7.79,54.3,62.09
2021-06-11,"Hell's Kitchen/Midtown Manhattan","Manhattan","10036","10036","18+",25289.35,3103,23205,26308,12.27,91.76,104.03
2021-06-11,"Central Harlem (North)/East Harlem","Manhattan","10037","10037","18+",17343.23,1023,8204,9227,5.9,47.3,53.2
2021-06-11,"Chinatown/Financial District","Manhattan","10038","10038","18+",20421.84,1984,13386,15370,9.72,65.55,75.26
2021-06-11,"Central Harlem (North)/Washington Heights (South)","Manhattan","10039","10039","18+",20884.26,1458,8818,10276,6.98,42.22,49.2
2021-06-11,"Washington Heights (North)","Manhattan","10040","10040","18+",36148.6,2444,19681,22125,6.76,54.44,61.21
2021-06-11,"Roosevelt Island","Manhattan","10044","10044","18+",9832,669,6576,7245,6.8,66.88,73.69
2021-06-11,"Lenox Hill/Upper East Side","Manhattan","10065","10065","18+",24466.3,1617,18164,19781,6.61,74.24,80.85
2021-06-11,"Lincoln Square","Manhattan","10069","10069","18+",5375.84,402,4238,4640,7.48,78.83,86.31
2021-06-11,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","18+",19863.75,1434,16388,17822,7.22,82.5,89.72
2021-06-11,"Upper East Side/Yorkville","Manhattan","10128","10128","18+",49297.99,2902,36422,39324,5.89,73.88,79.77
2021-06-11,"Battery Park City","Manhattan","10280","10280","18+",7517.17,547,4966,5513,7.28,66.06,73.34
2021-06-11,"Battery Park City","Manhattan","10282","10282","18+",4396.18,348,2797,3145,7.92,63.62,71.54
2021-06-11,"Silver Lake/St. George","Staten Island","10301","10301","18+",30789.03,1959,17291,19250,6.36,56.16,62.52
2021-06-11,"Elm Park","Staten Island","10302","10302","18+",13841.82,1060,6977,8037,7.66,50.41,58.06
2021-06-11,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","10303","18+",19271.57,1587,9265,10852,8.23,48.08,56.31
2021-06-11,"New Dorp/Todt Hill","Staten Island","10304","10304","18+",32365.49,2417,18167,20584,7.47,56.13,63.6
2021-06-11,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","10305","18+",34316.79,2490,19415,21905,7.26,56.58,63.83
