"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Bay Ridge/Fort Hamilton","Brooklyn","11209","11209","18+",54828.8,3816,49887,53703,28759,11112,6.96,90.99,97.95,52.45,20.27
2023-07-13,"Flatlands/Midwood","Brooklyn","11210","11210","18+",49548.95,3253,37141,40394,16206,4379,6.57,74.96,81.52,32.71,8.84
2023-07-13,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","Brooklyn","11211","11211, 11249","18+",74916.07,7447,58249,65696,32414,15541,9.94,77.75,87.69,43.27,20.74
2023-07-13,"Ocean Hill-Brownsville","Brooklyn","11212","11212","18+",55341.02,5907,50726,56633,19432,4554,10.67,91.66,102.33,35.11,8.23
2023-07-13,"Crown Heights (East)","Brooklyn","11213","11213","18+",48644.6,4384,37511,41895,16847,5019,9.01,77.11,86.12,34.63,10.32
2023-07-13,"Bath Beach/Bensonhurst/Gravesend","Brooklyn","11214","11214","18+",73712.3,5668,65297,70965,34002,9771,7.69,88.58,96.27,46.13,13.26
2023-07-13,"Gowanus/Park Slope/Windsor Terrace","Brooklyn","11215","11215","18+",56922.08,4884,50310,55194,37300,24086,8.58,88.38,96.96,65.53,42.31
2023-07-13,"Bedford-Stuyvesant (West)/Crown Heights (West)","Brooklyn","11216","11216","18+",46042.94,5037,38848,43885,21813,9698,10.94,84.37,95.31,47.38,21.06
2023-07-13,"Boerum Hill/Park Slope","Brooklyn","11217","11217, 11243","18+",34613.85,3699,29731,33430,20228,12124,10.69,85.89,96.58,58.44,35.03
2023-07-13,"Kensington/Windsor Terrace","Brooklyn","11218","11218","18+",53726.25,3966,47013,50979,26640,11379,7.38,87.5,94.89,49.58,21.18
2023-07-13,"Borough Park","Brooklyn","11219","11219","18+",57912.51,4513,41890,46403,20766,5044,7.79,72.33,80.13,35.86,8.71
2023-07-13,"Sunset Park","Brooklyn","11220","11220","18+",72891.63,10703,83781,94484,45698,12734,14.68,114.94,129.62,62.69,17.47
2023-07-13,"Bedford-Stuyvesant (East)/Bushwick","Brooklyn","11221","11221","18+",64338.77,7549,56042,63591,26793,9569,11.73,87.1,98.84,41.64,14.87
2023-07-13,"Greenpoint","Brooklyn","11222","11222","18+",32062.1,3483,30709,34192,19255,9236,10.86,95.78,106.64,60.06,28.81
2023-07-13,"Gravesend/Homecrest","Brooklyn","11223","11223","18+",62432.22,4244,48649,52893,23638,6293,6.8,77.92,84.72,37.86,10.08
2023-07-13,"Brighton Beach/Coney Island/Seagate","Brooklyn","11224","11224","18+",37631.32,2664,28303,30967,12791,3323,7.08,75.21,82.29,33.99,8.83
2023-07-13,"Crown Heights (West)/Prospect Lefferts Gardens","Brooklyn","11225","11225","18+",45775.98,3677,38599,42276,20742,8326,8.03,84.32,92.35,45.31,18.19
