DATE,NEIGHBORHOOD_NAME,BOROUGH,MODZCTA,Label,AGE_GROUP,POP_DENOMINATOR,COUNT_PARTIALLY_CUMULATIVE,COUNT_FULLY_CUMULATIVE,COUNT_1PLUS_CUMULATIVE,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS
2/13/2022,Astoria (North),Queens,11102,11102,'5-17,3572.86,312,2066,2378,8.73,57.82,66.56
2/13/2022,Astoria (North)/Astoria (South),Queens,11103,11103,'5-17,3472.57,319,1881,2200,9.19,54.17,63.35
2/13/2022,Sunnyside,Queens,11104,11104,'5-17,2478.82,217,2054,2271,8.75,82.86,91.62
2/13/2022,Ditmars Steinway,Queens,11105,11105,'5-17,3583.63,291,1972,2263,8.12,55.03,63.15
2/13/2022,Astoria (South),Queens,11106,11106,'5-17,3833,346,2398,2744,9.03,62.56,71.59
2/13/2022,Long Island City,Queens,11109,11109,'5-17,135.38,55,373,428,40.63,275.52,316.15
2/13/2022,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,11201,11201,'5-17,5059.44,614,5046,5660,12.14,99.73,111.87
2/13/2022,East Flatbush (North)/East Flatbush (South),Brooklyn,11203,11203,'5-17,9387.45,949,4181,5130,10.11,44.54,54.65
2/13/2022,Bensonhurst/Mapleton,Brooklyn,11204,11204,'5-17,14373.39,735,5769,6504,5.11,40.14,45.25
2/13/2022,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,11205,11205,'5-17,7100.41,398,2390,2788,5.61,33.66,39.27
2/13/2022,Williamsburg (South),Brooklyn,11206,11206,'5-17,16970.22,851,3857,4708,5.01,22.73,27.74
2/13/2022,Cypress Hills/East New York,Brooklyn,11207,11207,'5-17,15863.69,1565,6396,7961,9.87,40.32,50.18
2/13/2022,Cypress Hills/East New York,Brooklyn,11208,11208,'5-17,18137.24,1815,8162,9977,10.01,45,55.01
2/13/2022,Bay Ridge/Fort Hamilton,Brooklyn,11209,11209,'5-17,8620.64,697,5028,5725,8.09,58.33,66.41
2/13/2022,Flatlands/Midwood,Brooklyn,11210,11210,'5-17,11506.77,682,3551,4233,5.93,30.86,36.79
2/13/2022,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,11211,"11211, 11249",'5-17,16966.25,605,2952,3557,3.57,17.4,20.97
2/13/2022,Ocean Hill-Brownsville,Brooklyn,11212,11212,'5-17,13250.73,1608,5817,7425,12.14,43.9,56.03
2/13/2022,Crown Heights (East),Brooklyn,11213,11213,'5-17,10933.29,726,3204,3930,6.64,29.3,35.95
2/13/2022,Bath Beach/Bensonhurst/Gravesend,Brooklyn,11214,11214,'5-17,13231.41,895,7825,8720,6.76,59.14,65.9
2/13/2022,Gowanus/Park Slope/Windsor Terrace,Brooklyn,11215,11215,'5-17,7674.9,587,7599,8186,7.65,99.01,106.66
2/13/2022,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,11216,11216,'5-17,5885.76,448,2531,2979,7.61,43,50.61
2/13/2022,Boerum Hill/Park Slope,Brooklyn,11217,"11217, 11243",'5-17,3732.25,337,2882,3219,9.03,77.22,86.25
2/13/2022,Kensington/Windsor Terrace,Brooklyn,11218,11218,'5-17,13870.78,770,6778,7548,5.55,48.87,54.42
2/13/2022,Borough Park,Brooklyn,11219,11219,'5-17,20739.02,767,6451,7218,3.7,31.11,34.8
2/13/2022,Sunset Park,Brooklyn,11220,11220,'5-17,14441.87,1745,14388,16133,12.08,99.63,111.71
2/13/2022,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,11221,11221,'5-17,12093.75,1042,4575,5617,8.62,37.83,46.45
2/13/2022,Greenpoint,Brooklyn,11222,11222,'5-17,2746.15,254,1654,1908,9.25,60.23,69.48
2/13/2022,Gravesend/Homecrest,Brooklyn,11223,11223,'5-17,13275.8,715,5204,5919,5.39,39.2,44.58
2/13/2022,Brighton Beach/Coney Island/Seagate,Brooklyn,11224,11224,'5-17,6371.87,514,2357,2871,8.07,36.99,45.06
2/13/2022,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,11225,11225,'5-17,7805.1,521,2942,3463,6.68,37.69,44.37
2/13/2022,Flatbush/Prospect Lefferts Gardens,Brooklyn,11226,11226,'5-17,13633.95,1279,6483,7762,9.38,47.55,56.93
2/13/2022,Bath Beach/Dyker Heights,Brooklyn,11228,11228,'5-17,6858.55,424,4477,4901,6.18,65.28,71.46
2/13/2022,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,11229,11229,'5-17,12812.92,606,4638,5244,4.73,36.2,40.93
2/13/2022,Midwood,Brooklyn,11230,11230,'5-17,16762.1,741,4320,5061,4.42,25.77,30.19
2/13/2022,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,11231,11231,'5-17,4304.51,467,4048,4515,10.85,94.04,104.89
2/13/2022,Sunset Park,Brooklyn,11232,11232,'5-17,3678.45,333,2883,3216,9.05,78.38,87.43
2/13/2022,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,11233,11233,'5-17,12090.38,1014,4282,5296,8.39,35.42,43.8
2/13/2022,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,11234,11234,'5-17,14991.42,878,5667,6545,5.86,37.8,43.66
2/13/2022,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,11235,11235,'5-17,9133.36,634,4051,4685,6.94,44.35,51.3
2/13/2022,Canarsie,Brooklyn,11236,11236,'5-17,14658.12,1116,5763,6879,7.61,39.32,46.93
2/13/2022,Bushwick/East Williamsburg,Brooklyn,11237,11237,'5-17,7107.77,855,3621,4476,12.03,50.94,62.97
2/13/2022,Clinton Hill/Prospect Heights,Brooklyn,11238,11238,'5-17,4388.8,439,3822,4261,10,87.09,97.09
2/13/2022,East New York,Brooklyn,11239,11239,'5-17,1678.7,207,1212,1419,12.33,72.2,84.53
2/13/2022,Flushing/Murray Hill,Queens,11354,11354,'5-17,5207.36,538,4531,5069,10.33,87.01,97.34
2/13/2022,Flushing/Murray Hill/Queensboro Hill,Queens,11355,11355,'5-17,8323.82,926,8991,9917,11.12,108.02,119.14
2/13/2022,College Point,Queens,11356,11356,'5-17,3474.33,460,2991,3451,13.24,86.09,99.33
2/13/2022,Whitestone,Queens,11357,11357,'5-17,5131.55,368,3247,3615,7.17,63.28,70.45
2/13/2022,Auburndale/Murray Hill,Queens,11358,11358,'5-17,4526.12,398,3754,4152,8.79,82.94,91.73
2/13/2022,Bayside (North),Queens,11360,11360,'5-17,1984.27,131,1415,1546,6.6,71.31,77.91
2/13/2022,Bayside (North)/Bayside (South),Queens,11361,11361,'5-17,3440.33,230,2801,3031,6.69,81.42,88.1
2/13/2022,Douglaston-Little Neck,Queens,11362,11362,'5-17,2479,170,1604,1774,6.86,64.7,71.56
2/13/2022,Douglaston-Little Neck,Queens,11363,11363,'5-17,1028.82,65,666,731,6.32,64.73,71.05
2/13/2022,Bayside (South)/Oakland Gardens,Queens,11364,11364,'5-17,4978.54,338,3802,4140,6.79,76.37,83.16
2/13/2022,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,11365,11365,'5-17,6263.31,514,4562,5076,8.21,72.84,81.04
2/13/2022,Fresh Meadows/Hillcrest,Queens,11366,11366,'5-17,1911.71,131,1144,1275,6.85,59.84,66.69
2/13/2022,Kew Gardens Hills/Pomonok,Queens,11367,11367,'5-17,5795.66,420,2730,3150,7.25,47.1,54.35
2/13/2022,Corona/North Corona,Queens,11368,11368,'5-17,17810.74,2978,14253,17231,16.72,80.02,96.74
2/13/2022,Airport/East Elmhurst,Queens,11369,11369,'5-17,5208.21,809,4005,4814,15.53,76.9,92.43
2/13/2022,Jackson Heights/Rikers Island,Queens,11370,11370,'5-17,3661.77,411,2552,2963,11.22,69.69,80.92
2/13/2022,Jackson Heights,Queens,11372,11372,'5-17,7324.45,1021,7163,8184,13.94,97.8,111.74
2/13/2022,Elmhurst,Queens,11373,11373,'5-17,11663.99,1467,11441,12908,12.58,98.09,110.67
2/13/2022,Rego Park,Queens,11374,11374,'5-17,4195.46,342,2788,3130,8.15,66.45,74.6
2/13/2022,Forest Hills,Queens,11375,11375,'5-17,7238.28,528,5445,5973,7.29,75.23,82.52
2/13/2022,Woodside,Queens,11377,11377,'5-17,10652.66,1090,8112,9202,10.23,76.15,86.38
2/13/2022,Maspeth,Queens,11378,11378,'5-17,5485.31,448,3141,3589,8.17,57.26,65.43
2/13/2022,Middle Village,Queens,11379,11379,'5-17,4940.58,341,2612,2953,6.9,52.87,59.77
2/13/2022,Glendale/Ridgewood,Queens,11385,11385,'5-17,16854.16,1364,7175,8539,8.09,42.57,50.66
2/13/2022,Cambria Heights,Queens,11411,11411,'5-17,2619.29,232,1224,1456,8.86,46.73,55.59
2/13/2022,St. Albans,Queens,11412,11412,'5-17,5469.76,498,2505,3003,9.1,45.8,54.9
2/13/2022,Laurelton/Rosedale,Queens,11413,11413,'5-17,6203.74,553,2591,3144,8.91,41.77,50.68
2/13/2022,Hamilton Beach/Howard Beach/Lindenwood,Queens,11414,11414,'5-17,3884.69,236,1506,1742,6.08,38.77,44.84
2/13/2022,Kew Gardens,Queens,11415,11415,'5-17,2343,174,1158,1332,7.43,49.42,56.85
2/13/2022,Ozone Park,Queens,11416,11416,'5-17,4796.07,398,2765,3163,8.3,57.65,65.95
2/13/2022,Ozone Park,Queens,11417,11417,'5-17,5320.45,397,3028,3425,7.46,56.91,64.37
2/13/2022,Richmond Hill,Queens,11418,11418,'5-17,6120.65,608,3348,3956,9.93,54.7,64.63
2/13/2022,Richmond Hill/South Ozone Park,Queens,11419,11419,'5-17,7672.22,626,4229,4855,8.16,55.12,63.28
2/13/2022,South Ozone Park,Queens,11420,11420,'5-17,7907.06,639,4083,4722,8.08,51.64,59.72
2/13/2022,Woodhaven,Queens,11421,11421,'5-17,6739.87,684,3966,4650,10.15,58.84,68.99
2/13/2022,Rosedale,Queens,11422,11422,'5-17,5021.2,456,1815,2271,9.08,36.15,45.23
2/13/2022,Hollis/Holliswood,Queens,11423,11423,'5-17,4177.18,368,2556,2924,8.81,61.19,70
2/13/2022,Bellerose,Queens,11426,11426,'5-17,2986.77,254,1532,1786,8.5,51.29,59.8
